the_geom,ObjectID,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,SiteID,Category,Installati,Address,GeocodeAdd,Street,CrossStree,Borough,ComDist,BusRoute,BID,Latitude,Longitude,NTAName,FEMAFldz,FEMAFldT,HrcEvac,SeatingTyp,date,year
POINT (-73.98384524707862 40.66433221370896),444,3.0,Brooklyn,306.0,39.0,44.0,21.0,9.0,1921,General,05/09/2013,412 7th Avenue,412 7th Avenue,7th Avenue,13th & 14th Street,Brooklyn,306,B67,Not Applicable,40.6643322137,-73.9838452471,Park Slope,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2013-05-09,2013.0
POINT (-73.98150878289019 40.67476959289031),554,3.0,Brooklyn,306.0,39.0,52.0,25.0,7.0,1003,General,01/17/2013,249 Fifth Avenue,249 Fifth Avenue,5th Avenue,Garfield Street and Carroll Street,Brooklyn,306,B63,Fifth Avenue,40.6747695929,-73.9815087829,Park Slope,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2013-01-17,2013.0
POINT (-73.97765557314123 40.72556926663563),1999,1.0,Manhattan,103.0,2.0,74.0,27.0,12.0,1938,General,07/23/2013,157 Avenue C,155-157 Avenue C,Avenue C,9th & 10th Street,Manhattan,103,Not Applicable,Not Applicable,40.7255692666,-73.9776555731,East Village,AE,,1.0,BACKED,2013-07-23,2013.0
POINT (-73.78932962160363 40.59289898540395),2231,4.0,Queens,414.0,31.0,31.0,10.0,5.0,67,sbs,02/05/2019,219 Beach 59th St,219 Beach 59th St,Arverne Blvd,Beach 59th Street & Beach 62nd Street,Queens,55,q53,,40.5928989854,-73.7893296216,Rockaway Beach-Arverne-Edgemere,AE,,1.0,LEANING BAR,2019-02-05,2019.0
POINT (-73.89717766190195 40.862273157905065),2162,2.0,Bronx,205.0,15.0,78.0,33.0,15.0,1194,BID,10/22/2012,South side Overpass at East Fordham Rd and Grand Concourse,"40°51'44.5""N 73°53'49.8""W",East Fordham Road,Grand Concourse East and West,Bronx,205,Not Applicable,Fordham Road,40.8622731579,-73.8971776619,Fordham Heights,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2012-10-22,2012.0
POINT (-73.8460384938789 40.68443498354895),644,4.0,Queens,409.0,32.0,38.0,15.0,7.0,3946,Bus Route,11/13/2017,97-27 Woodhaven Blvd,97-27 Woodhaven Blvd,Woodhaven Blvd,101st Avenue & 97th Avenue,Queens,0,Q52,Not Applicable,40.6844349835,-73.8460384939,Ozone Park (North),X,AREA OF MINIMAL FLOOD HAZARD,6.0,BACKED,2017-11-13,2017.0
POINT (-73.83073211043418 40.713445779655466),891,4.0,Queens,409.0,29.0,28.0,14.0,6.0,2366,Senior Center,02/10/2014,80-02 Kew Gardens Road,80-02 Kew Gardens Road,80th Road,Queens Blvd & 80th Road,Queens,409,Not Applicable,Not Applicable,40.7134457797,-73.8307321104,Kew Gardens,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2014-02-10,2014.0
POINT (-73.97667271489107 40.59666951319101),68,3.0,Brooklyn,311.0,47.0,47.0,22.0,11.0,3095,General,09/09/2015,203 Avenue U,203 Avenue U,Avenue U,W 5th Street & W 6th Street,Brooklyn,311,Not Applicable,Not Applicable,40.5966695132,-73.9766727149,Gravesend (West),X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKED,2015-09-09,2015.0
POINT (-73.84669383826188 40.68406237252198),2198,4.0,Queens,409.0,32.0,23.0,15.0,7.0,35,SBS,11/13/2017,94-2 101st Avenue,94-2 101st Avenue,Woodhaven Boulevard,101st Avenue & 103rd Avenue,Queens,50,Q53,,40.6840623725,-73.8466938383,Ozone Park (North),X,AREA OF MINIMAL FLOOD HAZARD,6.0,LEANING BAR,2017-11-13,2017.0
POINT (-73.9557485633816 40.77452772983168),1321,1.0,Manhattan,108.0,5.0,76.0,28.0,12.0,3688,Senior Safety,08/03/2017,245 E. 80th Street,245 E. 80th Street,E. 80th Street,2nd Avenue & 3rd Avenue,Manhattan,108,Not Applicable,Not Applicable,40.7745277298,-73.9557485634,Upper East Side-Yorkville,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2017-08-03,2017.0
