GISJOIN,GEOID,STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE,geometry,closest_bench,the_geom,ObjectID,BoroName,Latitude,Longitude,NTAName,SeatingTyp,date,lat_long,distance_km,distance_m,travel_time,travel_time_sec
G3600050000100,36005000100,36,005,000100,3772,40.791709,-73.884503,POINT (1834172.3055000007 583266.1962000001),"(40.8098290466, -73.8802074781)",POINT (-73.88020747806898 40.80982904656402),1512,Bronx,40.8098290466,-73.8802074781,Hunts Point,BACKED,2017-06-29,"(40.8098290466, -73.8802074781)",NA,NA,NA,0
G3600050000200,36005000200,36,005,000200,4779,40.81174,-73.85976,POINT (1835669.2375000007 585926.6995000001),"(40.8135012283, -73.8580258069)",POINT (-73.85802580692271 40.81350122828774),1531,Bronx,40.8135012283,-73.8580258069,Soundview-Clason Point,BACKLESS,2014-12-18,"(40.8135012283, -73.8580258069)",0.4 km,376,5 mins,
G3600050000400,36005000400,36,005,000400,6272,40.809831,-73.85329,POINT (1836245.2989999987 585843.6816000007),"(40.8135012283, -73.8580258069)",POINT (-73.85802580692271 40.81350122828774),1531,Bronx,40.8135012283,-73.8580258069,Soundview-Clason Point,BACKLESS,2014-12-18,"(40.8135012283, -73.8580258069)",0.7 km,724,9 mins,
G3600050001600,36005001600,36,005,001600,5795,40.819555,-73.859196,POINT (1835513.0854000002 586789.1511000004),"(40.8204551606, -73.8580429709)",POINT (-73.85804297088117 40.82045516060861),1586,Bronx,40.8204551606,-73.8580429709,Soundview-Clason Point,BACKED,2013-08-08,"(40.8204551606, -73.8580429709)",0.2 km,186,2 mins,
G3600050001901,36005001901,36,005,001901,2292,40.806572,-73.927684,POINT (1830272.601399999 584053.4228000008),"(40.8060822771, -73.9259454483)",POINT (-73.92594544834854 40.806082277135964),1497,Bronx,40.8060822771,-73.9259454483,Mott Haven-Port Morris,BACKED,2016-06-10,"(40.8060822771, -73.9259454483)",0.2 km,189,2 mins,
G3600050001902,36005001902,36,005,001902,1613,40.803773,-73.916009,POINT (1831295.416099999 583973.2962999996),"(40.8050854596, -73.9185899687)",POINT (-73.91858996868551 40.80508545955474),2140,Bronx,40.8050854596,-73.9185899687,Mott Haven-Port Morris,BACKED,2018-08-01,"(40.8050854596, -73.9185899687)",0.3 km,311,4 mins,
G3600050001903,36005001903,36,005,001903,2,40.803391,-73.922647,POINT (1830764.7547999993 583803.7692000009),"(40.8063427223, -73.9211945728)",POINT (-73.92119457280616 40.80634272226135),1498,Bronx,40.8063427223,-73.9211945728,Mott Haven-Port Morris,BACKED,2014-08-14,"(40.8063427223, -73.9211945728)",0.4 km,448,6 mins,
G3600050001904,36005001904,36,005,001904,0,40.796343,-73.898377,POINT (1832922.8671999983 583503.5046999995),"(40.8126863709, -73.9059895259)",POINT (-73.90598952588337 40.81268637094334),1525,Bronx,40.8126863709,-73.9059895259,Melrose,BACKED,2014-11-05,"(40.8126863709, -73.9059895259)",10.6 km,10616,1 hour 49 mins,
G3600050002001,36005002001,36,005,002001,5007,40.817177,-73.867675,POINT (1834884.3801999986 586366.2923000008),"(40.8185189613, -73.8684611716)",POINT (-73.86846117160587 40.818518961290955),1566,Bronx,40.8185189613,-73.8684611716,Soundview-Clason Point,BACKED,2015-01-20,"(40.8185189613, -73.8684611716)",0.2 km,217,3 mins,
G3600050002002,36005002002,36,005,002002,4584,40.817425,-73.864635,POINT (1835125.4272000007 586452.0155999996),"(40.8186229281, -73.8630030259)",POINT (-73.86300302590284 40.81862292811974),1564,Bronx,40.8186229281,-73.8630030259,Soundview-Clason Point,BACKED,2014-07-01,"(40.8186229281, -73.8630030259)",0.4 km,377,5 mins,
